참여자 (419),1주차,2주차,3주차,4주차,5주차,6주차,7주차,8주차,9주차,10주차,11주차,12주차,13주차,14주차,15주차,참석율
phantom08266,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,20.0
pka0220z,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
plmnj2003,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
plzprayme,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
pond1029,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,86.66666666666667
positive-choi,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
realizehighly,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,66.66666666666667
redbean88,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
reinf92,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
reumongshop,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
reversalSpring,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
riyenas0925,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
rkdals213,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,80.0
rlatmd0829,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
rockintuna,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
roeniss,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
rshak8912,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
rudus1012,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
rumor1993,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
ryeon9445,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
s0w0s,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
saintrealchoi,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
salmon2,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,20.0
sangm1n,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
sangw0804,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
sangwoobae,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
sejongdeveloper,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
sellester,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,13.333333333333334
seovalue,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
shin-ga-eun,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,13.333333333333334
shinnyoung,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
shjang1013,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
sigriswil,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
sinchang1,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
sirena1,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
sjhello,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
sjinjin7,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,13.333333333333334
sky7th,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
sojintjdals,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
somcodelead,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,6.666666666666667
soojpark91,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
soongjamm,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
soonysoo,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
sophysophysophysophy,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,80.0
sowhat9293,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
sowjd,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
soyijang,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
ssayebee,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
ssebong777,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,6.666666666666667
sskim91,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
ssonsh,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
star1606,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
stau0444,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
sujl95,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,93.33333333333333
sungpillhong,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
sunho-lee,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,26.666666666666668
sunnynote,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,80.0
surfing2003,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,20.0
sweetchinmusic,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
tbnsok40,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,53.333333333333336
thisisyoungbin,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
tinajeong,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,73.33333333333333
tjdqls1200,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,40.0
tmdgusya,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
tocgic,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,86.66666666666667
twosoull,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
twowinsh87,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
uHan2,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
ufonetcom,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
ventulus95,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,66.66666666666667
wannte,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
wdEffort,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
whiteship,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,33.333333333333336
wideo2,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
wltnthss,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
yallyyally,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
yangseungin,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
yeGenieee,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,93.33333333333333
yeo311,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,26.666666666666668
yhh1056,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
yhxkit,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,20.0
ykob501,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
yks095,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
yky03,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
yongtaelim,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
yoojaeseon1,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
youngjinmo,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,80.0
youngsunshin94,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,46.666666666666664
younwony,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
yskkkkkk,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
ysmiler,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
yukyeong713,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
yunieom,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
zeze1004,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
zhaoSeo,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,33.333333333333336
zilzu4165,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
